New code,Country code,new top 30
1,AGO,0
2,ARG,0
3,ARM,0
4,AUS,1
5,AUT,1
6,AZE,0
7,BGD,0
8,BLR,0
9,BEL,1
10,BEN,0
11,BTN,0
12,BOL,0
13,BIH,0
14,BWA,0
15,BRA,1
16,BRN,0
17,BGR,0
18,BFA,0
19,BDI,0
20,KHM,0
21,CMR,0
22,CAN,1
23,CPV,0
24,CAF,0
25,TCD,0
26,CHL,0
27,CHN,1
28,COL,1
29,COM,0
30,ZAR,0
31,COG,0
32,CIV,0
33,HRV,0
34,CYP,0
35,CZE,0
36,DNK,1
37,DJI,0
38,ECU,0
39,EGY,0
40,GNQ,0
41,EST,0
42,ETH,0
43,FJI,0
44,FIN,1
45,FRA,1
46,GAB,0
47,GMB,0
48,GEO,0
49,DEU,1
50,GHA,0
51,GRC,1
52,GIN,0
53,GNB,0
54,HKG,0
55,HUN,0
56,ISL,0
57,IND,1
58,IDN,1
59,IRN,0
60,IRL,1
61,ISR,0
62,ITA,1
63,JPN,1
64,JOR,0
65,KAZ,0
66,KEN,0
67,KOR,1
68,KGZ,0
69,LAO,0
70,LVA,0
71,LBN,0
72,LSO,0
73,LBR,0
74,LTU,0
75,LUX,0
76,MAC,0
77,MKD,0
78,MDG,0
79,MWI,0
80,MYS,0
81,MLI,0
82,MLT,0
83,MRT,0
84,MUS,0
85,MEX,1
86,MDA,0
87,MNG,0
88,MAR,0
89,MOZ,0
90,NAM,0
91,NPL,0
92,NLD,0
93,NZL,0
94,NGA,0
95,NOR,1
96,OMN,0
97,PAK,0
98,PRY,0
99,PER,0
100,PHL,0
101,POL,1
102,PRT,1
103,ROM,0
104,RUS,1
105,RWA,0
106,STP,0
107,SAU,0
108,SEN,0
109,SGP,0
110,SVK,0
111,SVN,0
112,ZAF,0
113,ESP,1
114,LKA,0
115,SDN,0
116,SWZ,0
117,SWE,1
118,CHE,1
119,SYR,0
120,TJK,0
121,TZA,0
122,THA,1
123,TGO,0
124,TUN,0
125,TUR,1
126,UGA,0
127,UKR,0
128,GBR,1
129,USA,1
130,URY,0
131,VEN,0
132,VNM,0
133,ZMB,0
134,ZWE,0
